unitId,unitName,nsUnit,status,versionDate,itemType,nsItemType,itemTypeDate,symbol,definition,baseStandard,conversionPresentation,conversionContent,numeratorItemType,nsNumeratorItemType,denominatorItemType,nsDenominatorItemType
XUA,ADB Unit of Account,http://www.xbrl.org/2003/iso4217,REC,2017-07-12,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,,African Development Bank,ISO4217,,,,,,
YER,Yemeni rial,http://www.xbrl.org/2003/iso4217,REC,2012-10-31,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,,Yemeni rial,ISO4217,,,,,,
ZAR,South African rand,http://www.xbrl.org/2003/iso4217,REC,2012-10-31,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,R,South African rand,ISO4217,,,,,,
ZMK,Zambian kwacha,http://www.xbrl.org/2003/iso4217,REC,2012-10-31,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,ZK,Zambian kwacha,ISO4217,,,,,,
ZMW,Zambian kwacha,http://www.xbrl.org/2003/iso4217,REC,2017-07-12,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,ZK,Zambian kwacha,ISO4217,,,,,,
ZWL,Zimbabwe dollar,http://www.xbrl.org/2003/iso4217,REC,2012-10-31,monetaryItemType,http://www.xbrl.org/2003/instance,2003-12-31,$,Zimbabwe dollar,ISO4217,,,,,,
Cal,Calorie,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,Cal,Calorie,Non-SI,4.184 * J,4.184 J,,,,
t,Tonne,http://www.xbrl.org/2009/utr,REC,2012-10-31,massItemType,,2009-12-16,t,"Tonne (Metric Tonne, Metric Ton)",Non-SI,10 3 * kg,10 3 kg,,,,
B,Byte,http://www.xbrl.org/2009/utr,REC,2012-10-31,memoryItemType,,2009-12-16,B,8 adjacent bits of Memory per IEEE 1541-2002,Non-SI,2 3 * bit,2 3 bit,,,,
GB,Gigabyte,http://www.xbrl.org/2009/utr,REC,2012-10-31,memoryItemType,,2009-12-16,GB,Gigabytes of Memory per IEEE 1541-2002,Non-SI,10 9 * B,2 30 B,,,,
kB,Kilobyte,http://www.xbrl.org/2009/utr,REC,2012-10-31,memoryItemType,,2009-12-16,kB,Kilobytes of Memory per IEEE 1541-2002,Non-SI,10 3 * B,10 3 B,,,,
MB,Megabyte,http://www.xbrl.org/2009/utr,REC,2012-10-31,memoryItemType,,2009-12-16,MB,Megabytes of Memory per IEEE 1541-2002,Non-SI,10 6 * B,10 6 B,,,,
TB,Terabyte,http://www.xbrl.org/2009/utr,REC,2012-10-31,memoryItemType,,2009-12-16,TB,Terabytes of Memory per IEEE 1541-2002,Non-SI,10 12 * B,10 12 B,,,,
ha,Hectare,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,ha,Hectare,SI,1000 * m 2,1000 m 2,,,,
sqkm,Square km,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,km²,Square Kilometer,SI,1000000 * m 2,1000000 m 2,,,,
sqm,Square metre,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,m²,Square Metre,SI,m 2,m 2,,,,
A,Ampere,http://www.xbrl.org/2009/utr,REC,2012-10-31,electricCurrentItemType,,2009-12-16,A,Ampere,SI,1 * A,1 A,,,,
J,Joule,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,J,Joule,SI,1 * kg * m 2 s -2,kg m 2 s -2,,,,
kJ,Kilojoule,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,kJ,Thousand Joules,SI,10 3 * J,10 3 J,,,,
kWh,Kilowatt-Hours,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,kWh,Kilowatt-Hours of Energy,SI,3.6 * 10 6 * J,3.6 10 6 J,,,,
mJ,mJ,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,mJ,Millijoules,SI,10 -3 * J,10 -3 J,,,,
MWh,Megawatt-Hour,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,MWh,Megawatt-Hour,SI,3.6 * 10 9 * J,3.6 10 9 J,,,,
V,Volt,http://www.xbrl.org/2009/utr,REC,2012-10-31,voltageItemType,,2009-12-16,V,Electromotive Force,SI,kg * m 2 s 3 * A,kg m 2 A s 3,,,,
Hz,Hertz,http://www.xbrl.org/2009/utr,REC,2012-10-31,frequencyItemType,,2009-12-16,Hz,Frequency or Number of Cycles per Second,SI,1 s,s -1,,,,
cm,Centimetre,http://www.xbrl.org/2009/utr,REC,2012-10-31,lengthItemType,,2009-12-16,cm,One-hundreth of Metre,SI,10 -2 * m,10 -2 m,,,,
dm,Decimetre,http://www.xbrl.org/2009/utr,REC,2012-10-31,lengthItemType,,2009-12-16,dm,Decimetre,SI,10 -1 m,10 -1 m,,,,
km,Kilometre,http://www.xbrl.org/2009/utr,REC,2012-10-31,lengthItemType,,2009-12-16,km,Thousand Metres,SI,10 3 * m,m 10 3,,,,
m,Metre,http://www.xbrl.org/2009/utr,REC,2012-10-31,lengthItemType,,2009-12-16,m,Metre,SI,1 * m,1 m,,,,
mm,Millimetre,http://www.xbrl.org/2009/utr,REC,2012-10-31,lengthItemType,,2009-12-16,mm,One-thousandth of Metre,SI,10 -3 * m,10 -3 m,,,,
g,Gram,http://www.xbrl.org/2009/utr,REC,2012-10-31,massItemType,,2009-12-16,g,Gram,SI,10 -3 * kg,10 -3 kg,,,,
kg,Kilogram,http://www.xbrl.org/2009/utr,REC,2012-10-31,massItemType,,2009-12-16,kg,Kilogram,SI,1 * kg,1 kg,,,,
GW,Gigawatt,http://www.xbrl.org/2009/utr,REC,2012-10-31,powerItemType,,2009-12-16,GW,Thousand Million Watts,SI,10 9 * W,10 9 W,,,,
kW,Kilowatt,http://www.xbrl.org/2009/utr,REC,2012-10-31,powerItemType,,2009-12-16,kW,Thousand Watts,SI,10 3 * W,10 3 W,,,,
MW,Megawatt,http://www.xbrl.org/2009/utr,REC,2012-10-31,powerItemType,,2009-12-16,MW,Million Watts,SI,10 6 * W,10 6 W,,,,
TW,Terawatt,http://www.xbrl.org/2009/utr,REC,2012-10-31,powerItemType,,2009-12-16,TW,Million Million Watts,SI,10 12 * W,10 12 W,,,,
W,Watt,http://www.xbrl.org/2009/utr,REC,2012-10-31,powerItemType,,2009-12-16,W,Watt,SI,1 * J s,1 J s,,,,
kV,Kilovolt,http://www.xbrl.org/2009/utr,REC,2012-10-31,voltageItemType,,2009-12-16,kV,Thousand Volts of Electromotive Force,SI,10 3 * V,10 3 V,,,,
l,Litre,http://www.xbrl.org/2009/utr,REC,2012-10-31,volumeItemType,,2009-12-16,l,Litre,SI,1 * dm 3,1 dm 3,,,,
m3,Cubic Metre,http://www.xbrl.org/2009/utr,REC,2012-10-31,volumeItemType,,2009-12-16,m³,Cubic Metre,SI,1 * m 3,1 m 3,,,,
bu,Bushel,http://www.xbrl.org/2009/utr,REC,2012-10-31,volumeItemType,,2009-12-16,bu,US Bushel,Customary,35.2391 * l,35.2391 l,,,,
aft,Acre-Foot,http://www.xbrl.org/2009/utr,REC,2013-05-17,volumeItemType,,2009-12-16,acre ft,"Volume of one acre of surface area to a depth of one foot using a US survey 
foot",Customary,1233.4892384681 * m 3,1233.4892384681 m 3,,,,
Monetary_per_Share,Monetary/share,,REC,2012-10-31,perShareItemType,,2009-12-16,,Monetary Unit / Share,XBRL,,,monetaryItemType,http://www.xbrl.org/2003/instance,sharesItemType,http://www.xbrl.org/2003/instance
Monetary_per_Decimal,Monetary/Decimal,,REC,2012-10-31,perUnitItemType,,2009-12-16,,Monetary Unit / Anything,XBRL,,,monetaryItemType,http://www.xbrl.org/2003/instance,decimalItemType,http://www.xbrl.org/2003/instance
Monetary_per_Monetary,Monetary/Monetary,,REC,2012-10-31,pureItemType,http://www.xbrl.org/2003/instance,2003-12-31,,Exchange Rate Expressed as: Monetary Unit / Monetary Unit,XBRL,,,monetaryItemType,http://www.xbrl.org/2003/instance,monetaryItemType,http://www.xbrl.org/2003/instance
pure,pure,http://www.xbrl.org/2003/instance,REC,2012-10-31,pureItemType,http://www.xbrl.org/2003/instance,2003-12-31,,Dimensionless (Pure) Number,XBRL,,,,,,
Rate,Rate,http://www.xbrl.org/2009/utr,REC,2012-10-31,pureItemType,http://www.xbrl.org/2003/instance,2003-12-31,,Rate,XBRL,,,,,,
shares,Share,http://www.xbrl.org/2003/instance,REC,2012-10-31,sharesItemType,http://www.xbrl.org/2003/instance,2003-12-31,,Unit of Ownership (Stock),XBRL,,,,,,
Y,Year,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,yr,"Gregorian calendar year of 365 days. Use only as a denominator because 
durationItemType is not numeric and has no units.",Customary,365 * d,365 d,,,,
M,Month,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,mo,"Gregorian calendar month of 30.41 days. Use only as a denominator because 
durationItemType is not numeric and has no units.",Customary,730 * h,730 h,,,,
D,Day,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,d,"Day of 24 hours. Use only as a denominator because durationItemType is not 
numeric and has no units.",Customary,86400 * s,86400 s,,,,
H,Hour,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,h,"Hour of 60 minutes. Use only as a denominator because durationItemType is 
not numeric and has no units.",Customary,3600 * s,3600 s,,,,
MM,Minute,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,m,"Minute of 60 seconds. Use only as a denominator because durationItemType is 
not numeric and has no units.",Customary,60 * s,60 s,,,,
S,Second,http://www.xbrl.org/2009/utr,REC,2012-10-31,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,s,"Second. Use only as a denominator because durationItemType is not numeric 
and has no units.",SI,,,,,,
Volume_per_Duration,Volume/Duration,,REC,2012-10-31,flowItemType,,2009-12-16,,"Flow rate, as Volume per Duration",Customary,,,volumeItemType,http://www.xbrl.org/2009/utr,durationItemType,http://www.xbrl.org/2003/instance
MV,Megavolt,http://www.xbrl.org/2009/utr,REC,2013-05-17,voltageItemType,,2009-12-16,MV,One million volts,SI,10 6 * V,10 6 V,,,,
GV,Gigavolt,http://www.xbrl.org/2009/utr,REC,2013-05-17,voltageItemType,,2009-12-16,GV,One thousand million volts,SI,10 9 * V,10 9 V,,,,
Bcf,Billions of cubic feet,http://www.xbrl.org/2009/utr,REC,2013-05-17,volumeItemType,,2009-12-16,Bcf,One thousand million cubic feet,Customary,2.832 10 7 * m 3,2.832 10 7 m 3,,,,
Tcf,Trillions of cubic feet,http://www.xbrl.org/2009/utr,REC,2013-05-17,volumeItemType,,2009-12-16,Tcf,One trillion cubic feet,Customary,2.832 10 10 * m 3,2.832 10 10 m 3,,,,
GWh,Gigawatt-Hour,http://www.xbrl.org/2009/utr,REC,2013-05-17,energyItemType,,2009-12-16,GWh,Gigawatt-Hour,SI,3.6 * 10 12 * J,3.6 10 12 J,,,,
TWh,Terawatt-Hour,http://www.xbrl.org/2009/utr,REC,2013-05-17,energyItemType,,2009-12-16,TWh,Terawatt-Hour,SI,3.6 * 10 15 * J,3.6 10 15 J,,,,
Q,Quarter,http://www.xbrl.org/2009/utr,REC,2013-05-17,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,qtr,"Gregorian Calendar Quarter (three months). Use only as a denominator 
because durationItemType is not numeric and has no units.",Customary,,,,,,
WK,Week,http://www.xbrl.org/2009/utr,REC,2013-05-17,durationItemType,http://www.xbrl.org/2003/instance,2003-12-31,wk,"Gregorian Calendar Week. Use only as a denominator because durationItemType 
is not numeric and has no units.",Customary,,,,,,
MMcfe,Million Cubic Foot Equivalent,http://www.xbrl.org/2009/utr,REC,2013-05-17,energyItemType,,2009-12-16,MMcfe,Million cubic feet of natural gas equivalent,Customary,1.0872 * 10 12 J,1.0872 10 12 J,,,,
Bcfe,Billion Cubic Foot Equivalent,http://www.xbrl.org/2009/utr,REC,2013-05-17,energyItemType,,2009-12-16,Bcfe,Thousand million cubic feet of natural gas equivalent,Customary,1.0872 * 10 15 J,1.0872 10 15 J,,,,
Tcfe,Trillion Cubic Foot Equivalent,http://www.xbrl.org/2009/utr,REC,2013-05-17,energyItemType,,2009-12-16,Tcfe,Trillion cubic feet of natural gas equivalent,Customary,1.0872 * 10 18 J,1.0872 10 18 J,,,,
kT,Thousand Tons,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,kT,One thousand US tons,Customary,907.18474 * 10 3 kg,907.18474 10 3 kg,,,,
MT,Million Tons,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,MT,One million US tons,Customary,907.18474 * 10 6 kg,907.18474 10 6 kg,,,,
GT,Billion Tons,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,GT,One thousand million US tons,Customary,907.18474 * 10 9 kg,907.18474 10 9 kg,,,,
kt,Kilotonne,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,kt,"Thousand Tonnes (Metric Tonnes, Metric Tons)",Non-SI,10 6 * kg,10 6 kg,,,,
Mt,Megatonne,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,Mt,"Million Tonnes (Metric Tonnes, Metric Tons)",Non-SI,10 9 * kg,10 9 kg,,,,
Gt,Gigatonne,http://www.xbrl.org/2009/utr,REC,2013-05-17,massItemType,,2009-12-16,Gt,"Thousand Million Tonnes (Metric Tonnes, Metric Tons)",Non-SI,10 12 * kg,10 12 kg,,,,
MWM,Megawatt-Month,http://www.xbrl.org/2009/utr,REC,2013-04-30,energyItemType,,2009-12-16,MW-M,Megawatt-Month assuming 730 hours per month,SI,2.6 * 10 12 * J,2.6 10 12 J,,,,
GWM,Gigawatt-Month,http://www.xbrl.org/2009/utr,REC,2013-04-30,energyItemType,,2009-12-16,GW-M,Gigawatt-Month assuming 730 hours per month,SI,2.6 * 10 15 * J,2.6 10 15 J,,,,
Energy_per_Duration,Energy/Duration,,CR,2016-08-10,flowItemType,,,,"Flow rate, as Energy per Duration",Customary,,,energyItemType,http://www.xbrl.org/2009/utr,durationItemType,http://www.xbrl.org/2003/instance
Cel,Celsius,http://www.xbrl.org/2009/utr,CR,2017-07-12,temperatureItemType,,,°C,"A temperature scale based on 0° for the freezing point of water and 100° 
for the boiling point of water at 1 atm pressure.",SI,K - 273.15,K 273.15,,,,
K,Kelvin,http://www.xbrl.org/2009/utr,CR,2017-07-12,temperatureItemType,,,K,"The kelvin is a unit of measure for temperature based upon an absolute 
scale. It is one of the seven base units in the International System of 
Units (SI) and is assigned the unit symbol K. The Kelvin scale is an 
absolute, thermodynamic temperature scale using as its null point absolute 
zero, the temperature at which all thermal motion ceases in the classical 
description of thermodynamics. The kelvin is defined as the fraction 
1⁄273.16 of the thermodynamic temperature of the triple point of water 
(exactly 0.01 °C or 32.018 °F). In other words, it is defined such that the 
triple point of water is exactly 273.16 K.",SI,1 · K,1 K,,,,
F,Fahrenheit,http://www.xbrl.org/2009/utr,CR,2017-07-12,temperatureItemType,,,°F,"Fahrenheit is a unit of measure for temperature defined by two fixed 
points: the temperature at which water freezes into ice is defined as 32 
°F, and the boiling point of water is defined to be 212 °F, a 180 °F 
separation, as defined at sea level and standard atmospheric pressure.",Customary,( ( K - 233 . 15 ) · 1 . 8 ) - 40,K 233.15 1.8 40,,,,
Pa,Pascal,http://www.xbrl.org/2009/utr,CR,2017-07-12,pressureItemType,,,Pa,"The pascal is the SI derived unit of pressure used to quantify internal 
pressure, stress, Young's modulus and ultimate tensile strength. It is 
defined as one newton per square meter.",SI,1 kg m · s 2,kg m s 2,,,,
Bar,Bar,http://www.xbrl.org/2009/utr,CR,2017-07-12,pressureItemType,,,bar,"The bar is a metric unit of pressure, but is not approved as part of the 
International System of Units (SI). It is defined as exactly equal to 
100000 Pa, which is slightly less than the current average atmospheric 
pressure on Earth at sea level.",Customary,100000 · kg m · s 2,100000 kg m s 2,,,,
psi,Pounds Per Square Inch,http://www.xbrl.org/2009/utr,CR,2017-07-12,pressureItemType,,,psi,"The pound per square inch is a unit of pressure or of stress based on 
avoirdupois units. It is the pressure resulting from a force of one 
pound-force applied to an area of one square inch.",Customary,6894 . 757 · N m 2,6894.757 N m 2,,,,
atm,Standard Atmosphere,http://www.xbrl.org/2009/utr,CR,2017-07-12,pressureItemType,,,atm,"The standard atmosphere is a unit of pressure defined as 101325 Pa (1.01325 
bar). It is sometimes used as a reference or standard pressure.",Customary,101325 · Pa,101325 Pa,,,,
N,Newton,http://www.xbrl.org/2009/utr,CR,2017-07-12,forceItemType,,,N,"The newton is the International System of Units (SI) derived unit of force. 
One newton is the force needed to accelerate one kilogram of mass at the 
rate of one metre per second squared in direction of the applied force.",SI,kg · m s 2,kg m s 2,,,,
var,Volt-ampere reactive,http://www.xbrl.org/2009/utr,CR,2017-07-12,powerItemType,,2009-12-16,var,"In electric power transmission and distribution, volt-ampere reactive (var) 
is a unit by which reactive power is expressed in an AC electric power 
system. Reactive power is the power that is wasted and not used to do work 
on the load.",Customary,1 · var,1 var,,,,
VA,Volt-ampere,http://www.xbrl.org/2009/utr,CR,2017-07-12,powerItemType,,2009-12-16,VA,"A volt-ampere (VA) is the unit used for the apparent power in an electrical 
circuit, equal to the product of root-mean-square (RMS) voltage and RMS 
current. In direct current (DC) circuits, this product is equal to the real 
power (active power) in watts. Volt-amperes are useful only in the context 
of alternating current (AC) circuits.",SI,W PF (Power Factor),W PF,,,,
Wh,Watt-Hours,http://www.xbrl.org/2009/utr,CR,2017-07-12,energyItemType,,2009-12-16,Wh,Watt-Hours of Energy,SI,3.6 · 10 3 · J,3.6 10 3 J,,,,
VAh,Volt-ampere-hours,http://www.xbrl.org/2009/utr,CR,2017-07-12,energyItemType,,2009-12-16,VAh,Volt-ampere (VA) hours of energy.,Customary,,,,,,
Ah,Ampere Hours,http://www.xbrl.org/2009/utr,CR,2017-07-12,electricChargeItemType,,,Ah,"An ampere hour or amp hour is a unit of electric charge, equal to the 
charge transferred by a steady current of one ampere flowing for one hour.",Customary,3600 · C,3600 C,,,,
C,Coulomb,http://www.xbrl.org/2009/utr,CR,2017-07-12,electricChargeItemType,,,C,"The coulomb is the International System of Units (SI) unit of electric 
charge. It is the charge transported by a constant current of one ampere in 
one second.",SI,A · s,A s,,,,
Degree,Degree,http://www.xbrl.org/2009/utr,CR,2017-07-12,planeAngleItemType,,,°,"The degree is a measurement of a plane angle, defined so that a full 
rotation is 360 degrees. In XBRL the degree is reported in a decimal format.",Customary,rad × 180 π,rad 180,,,,
rad,Radian,http://www.xbrl.org/2009/utr,CR,2017-07-12,planeAngleItemType,,,rad,"The radian is the standard unit of angular measure. The radian is an SI 
derived unit.",SI,,,,,,